Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
24-March-2021,1494.00,1506.45,1471.00,1479.95,1487.890225096585999797,424751,19110,631982861.00,260242,61.27,35.45,-14.05
23-March-2021,1475.00,1507.00,1469.35,1500.35,1487.149600640328280977,354818,15294,527667447.00,129411,36.47,37.65,25.35
22-March-2021,1497.10,1497.10,1460.25,1469.30,1473.669550725298597493,241211,7933,355465306.00,94221,39.06,36.85,-27.80
19-March-2021,1485.00,1510.75,1474.35,1497.10,1487.906444615046460733,313921,8398,467085079.00,108917,34.70,36.40,12.10
18-March-2021,1508.00,1521.80,1481.15,1490.35,1503.325974358884320011,284777,15262,428112661.00,94625,33.23,40.65,-17.65
17-March-2021,1518.00,1538.65,1490.00,1495.65,1515.395635664998954523,329993,16355,500069952.00,109888,33.30,48.65,-22.35
16-March-2021,1529.00,1540.00,1509.50,1512.80,1524.698149122870265554,277382,12777,422923822.00,116794,42.11,30.50,-16.20
15-March-2021,1548.05,1548.05,1515.65,1529.15,1525.995863449017382474,133928,5439,204373574.00,41849,31.25,32.40,-18.90
12-March-2021,1577.00,1591.75,1535.65,1551.65,1570.119085531385853877,372413,18352,584732759.00,170751,45.85,56.10,-25.35
10-March-2021,1570.00,1575.35,1552.45,1555.80,1559.612918307671582417,252386,9444,393624466.00,109007,43.19,22.90,-14.20
9-March-2021,1540.00,1565.00,1539.95,1562.65,1557.513562682321557383,220421,7642,343308697.00,82535,37.44,25.05,22.65
8-March-2021,1541.00,1555.50,1512.65,1519.40,1532.262579000119441429,192563,7066,295057079.00,43003,22.33,42.85,-21.60
5-March-2021,1531.80,1545.45,1520.65,1529.65,1532.854093671238383869,323365,18262,495671364.00,95717,29.60,24.80,-2.15
4-March-2021,1550.00,1570.70,1540.00,1553.20,1551.095537265239467259,1345946,10251,2087690834.00,1151299,85.54,30.70,3.20
3-March-2021,1582.00,1595.70,1565.45,1586.45,1581.899860864681329061,156682,5658,247855234.00,41591,26.54,30.25,4.45
2-March-2021,1578.00,1587.00,1550.90,1566.40,1566.734750759530263940,183337,7054,287240449.00,34762,18.96,36.10,-11.60
1-March-2021,1568.30,1573.00,1541.15,1558.70,1560.381936501396003097,140759,6501,219637801.00,25045,17.79,31.85,-9.60
26-February-2021,1583.10,1588.15,1521.50,1534.35,1542.805231166296551315,438602,20854,676677460.00,131018,29.87,66.65,-48.75
25-February-2021,1622.00,1635.80,1601.40,1605.75,1621.928783235677789380,322733,11619,523449942.00,114335,35.43,34.40,-16.25
24-February-2021,1517.00,1650.00,1517.00,1606.25,1578.513992897665296358,1879382,35565,2966630785.00,922510,49.09,133.00,89.25
23-February-2021,1559.00,1559.00,1523.00,1529.15,1538.895873699874443910,258052,12908,397115158.00,69774,27.04,36.00,-29.85
22-February-2021,1541.00,1573.80,1539.10,1548.65,1558.454781915078089777,259509,9895,404433042.00,70829,27.29,34.70,7.65
19-February-2021,1545.00,1563.75,1533.00,1538.80,1547.888901860066931278,205584,7000,318221192.00,43347,21.08,30.75,-6.20
18-February-2021,1606.05,1606.05,1548.10,1554.30,1568.542637943775923861,234099,8263,367194263.00,52681,22.50,57.95,-51.75
17-February-2021,1616.80,1621.75,1584.00,1586.30,1610.377711910840648643,343116,8755,552546359.00,222043,64.71,37.75,-30.50
16-February-2021,1625.00,1641.30,1608.10,1626.60,1624.673285964088109405,306528,8642,498007853.00,134999,44.04,33.20,1.60
15-February-2021,1598.00,1625.00,1596.80,1616.35,1607.588333233227220854,416225,17869,669118454.00,232840,55.94,28.20,18.35
12-February-2021,1572.40,1592.30,1572.40,1582.30,1584.589251409642682838,192602,7950,305195059.00,50614,26.28,19.90,9.90
11-February-2021,1578.70,1594.95,1565.00,1572.40,1577.018926511319608291,253454,9791,399701755.00,85214,33.62,29.95,-6.30
10-February-2021,1609.00,1614.50,1567.10,1583.50,1593.769657368948137446,304555,13546,485390518.00,68195,22.39,47.40,-25.50
9-February-2021,1604.30,1627.80,1586.90,1612.05,1612.584147784289914604,256103,7167,412987638.00,59494,23.23,40.90,7.75
8-February-2021,1616.00,1631.60,1595.60,1604.80,1615.995168147074142372,284156,7761,459194723.00,46507,16.37,36.00,-11.20
5-February-2021,1578.15,1618.40,1550.75,1596.85,1596.129642306784781069,343283,11683,547924172.00,73701,21.47,67.65,18.70
4-February-2021,1564.15,1587.80,1543.45,1578.15,1568.398189666399985115,322482,14589,505780185.00,111141,34.46,44.35,14.00
3-February-2021,1578.40,1581.40,1542.20,1575.20,1564.272150927961552226,371621,18109,581316381.00,144473,38.88,39.20,-3.20
2-February-2021,1500.00,1578.00,1498.80,1560.40,1555.738708674294993982,1041906,46018,1620933495.00,482604,46.32,79.20,60.40
1-February-2021,1400.00,1482.00,1400.00,1477.20,1442.222631693804425108,568212,30876,819488206.00,266046,46.82,82.00,77.20
29-January-2021,1394.45,1408.80,1364.65,1390.80,1387.801052819890150462,262723,9878,364607256.00,46963,17.88,44.15,-3.65
28-January-2021,1388.00,1400.00,1342.00,1370.20,1363.074863367332020257,608749,40760,829770460.00,195620,32.13,58.00,-17.80
27-January-2021,1468.00,1471.50,1406.25,1409.80,1436.419866900855259093,226598,12554,325489869.00,95226,42.02,65.25,-58.20
25-January-2021,1466.00,1480.70,1455.15,1462.40,1466.461185751173623428,274577,14194,402656513.00,113331,41.27,25.55,-3.60
22-January-2021,1465.15,1468.25,1440.70,1443.65,1454.861141878355394960,165219,8518,240370703.00,44264,26.79,27.55,-21.50
21-January-2021,1496.00,1496.05,1468.80,1473.90,1472.653988028421030094,1307764,10700,1925883870.00,1033678,79.04,27.25,-22.10
20-January-2021,1504.95,1504.95,1486.50,1490.95,1493.609359131685849695,189056,7046,282375811.00,34560,18.28,18.45,-14.00
19-January-2021,1492.80,1511.00,1466.75,1503.40,1489.548115022415873967,714226,26027,1063873992.00,247214,34.61,44.25,10.60
